camera,rows_with_temperature,rows_matched_before_decode,rows_in_decode_cache,selected
684,4091,4091,0,no
623,3723,3723,0,no
10917,3565,3565,0,no
18590,3491,3491,0,no
162,3244,3244,0,no
65,3234,3234,0,no
260,3224,3224,0,no
3837,3197,3197,0,no
8887,3181,0,0,no
21510,2965,0,0,no
21511,2755,0,0,no
3396,2668,2668,0,no
204,2489,2489,0,no
17244,2390,2390,0,no
5020,2304,2304,0,no
24325,1924,0,0,no
75,1828,1828,0,no
17218,1805,1805,1805,yes
4584,1805,1805,0,no
9730,1805,1805,1805,yes
6798,1795,1795,0,no
8733,1791,1791,0,no
19388,1789,1789,0,no
4181,1779,1779,0,no
11160,1690,1690,0,no
10066,1669,1669,0,no
3888,1626,1626,1624,yes
4801,1601,1601,1601,yes
7371,1512,1512,0,no
7211,1511,1511,0,no
10870,1460,1460,0,no
22788,1446,0,0,no
19834,1328,1328,0,no
19306,1275,1275,0,no
3395,1268,1268,0,no
3297,1267,1267,1267,yes
9291,1253,1253,0,no
7233,1197,1197,0,no
11331,1170,1170,0,no
4679,1090,1090,0,no
8438,1059,1059,1012,yes
5021,1022,1022,1022,yes
9483,939,939,0,no
861,920,920,0,no
1093,869,869,869,yes
19106,859,859,859,yes
8953,787,787,0,no
9708,750,750,0,no
4795,723,723,723,yes
9112,655,655,0,no
21444,305,0,0,no
858,200,200,200,yes
4232,175,175,175,yes
