camera,filename,bytes,error
3888,20131225_171222.jpg,2904,OSError: image file is truncated (26 bytes not processed)
3888,20130617_101231.jpg,5832,OSError: image file is truncated (20 bytes not processed)
8438,20130403_114638.jpg,8280,OSError: image file is truncated (8 bytes not processed)
8438,20130221_154648.jpg,26987,OSError: image file is truncated (1 bytes not processed)
8438,20130403_174640.jpg,24840,OSError: image file is truncated (10 bytes not processed)
8438,20130105_064641.jpg,16560,OSError: image file is truncated (11 bytes not processed)
8438,20130305_161640.jpg,24840,OSError: image file is truncated (5 bytes not processed)
8438,20130409_091641.jpg,41400,OSError: image file is truncated (17 bytes not processed)
8438,20130227_034639.jpg,24840,OSError: image file is truncated (34 bytes not processed)
8438,20130319_001639.jpg,33120,OSError: image file is truncated (25 bytes not processed)
8438,20130110_051642.jpg,41400,OSError: image file is truncated (2 bytes not processed)
8438,20130130_011643.jpg,33120,OSError: image file is truncated (56 bytes not processed)
8438,20130228_084639.jpg,33120,OSError: image file is truncated (5 bytes not processed)
8438,20130416_141642.jpg,24840,OSError: image file is truncated (2 bytes not processed)
8438,20130324_144638.jpg,16560,OSError: image file is truncated (52 bytes not processed)
8438,20130415_031643.jpg,41400,OSError: image file is truncated (7 bytes not processed)
8438,20130329_081639.jpg,24840,OSError: image file is truncated (24 bytes not processed)
8438,20130330_234638.jpg,8280,OSError: image file is truncated (5 bytes not processed)
8438,20130408_194640.jpg,16560,OSError: image file is truncated (35 bytes not processed)
8438,20130326_021639.jpg,8280,OSError: image file is truncated (6 bytes not processed)
8438,20130117_014641.jpg,16560,OSError: image file is truncated (9 bytes not processed)
8438,20130114_224641.jpg,8280,OSError: image file is truncated (2 bytes not processed)
8438,20130406_224640.jpg,8280,OSError: image file is truncated (12 bytes not processed)
8438,20130321_044638.jpg,16560,OSError: image file is truncated (0 bytes not processed)
8438,20130318_114638.jpg,33120,OSError: image file is truncated (2 bytes not processed)
8438,20130416_121641.jpg,8280,OSError: image file is truncated (8 bytes not processed)
8438,20130403_204639.jpg,16560,OSError: image file is truncated (0 bytes not processed)
8438,20130105_141642.jpg,49680,OSError: image file is truncated (22 bytes not processed)
8438,20130412_104642.jpg,41400,OSError: image file is truncated (15 bytes not processed)
8438,20130403_051640.jpg,33120,OSError: image file is truncated (2 bytes not processed)
8438,20130331_151640.jpg,24840,OSError: image file is truncated (60 bytes not processed)
8438,20130108_104640.jpg,8280,OSError: image file is truncated (15 bytes not processed)
8438,20130717_004648.jpg,16560,OSError: image file is truncated (18 bytes not processed)
8438,20130807_214630.jpg,35880,OSError: image file is truncated (0 bytes not processed)
8438,20130208_171638.jpg,19320,OSError: image file is truncated (8 bytes not processed)
8438,20130710_064630.jpg,24840,OSError: image file is truncated (10 bytes not processed)
8438,20130415_221642.jpg,24840,OSError: image file is truncated (4 bytes not processed)
8438,20130328_034640.jpg,33120,OSError: image file is truncated (0 bytes not processed)
8438,20130319_114638.jpg,24840,OSError: image file is truncated (9 bytes not processed)
8438,20130317_011638.jpg,16560,OSError: image file is truncated (4 bytes not processed)
8438,20130115_111641.jpg,24840,OSError: image file is truncated (22 bytes not processed)
8438,20130115_044640.jpg,8280,OSError: image file is truncated (19 bytes not processed)
8438,20130121_104643.jpg,41400,OSError: image file is truncated (13 bytes not processed)
8438,20130325_044639.jpg,33120,OSError: image file is truncated (43 bytes not processed)
8438,20130113_221640.jpg,8280,OSError: image file is truncated (2 bytes not processed)
8438,20130411_021640.jpg,8280,OSError: image file is truncated (4 bytes not processed)
8438,20130403_024641.jpg,41400,OSError: image file is truncated (18 bytes not processed)
8438,20130107_104642.jpg,33120,OSError: image file is truncated (8 bytes not processed)
8438,20130327_174638.jpg,24840,OSError: image file is truncated (21 bytes not processed)
